Name;Lateralnormal;Soll;Abteilung
0008 25 µm C3   5890 PTB 00	;0008 25 µm C3 (ISO 5436-1) 5890 PTB 00	;24,993;	Service
0008 100 µm C3   5890 PTB 00;0008 100 µm C3 (ISO 5436-1) 5890 PTB 00;	99,993;	Service
LS01 25 µm C3  5552 PTB 05;LS01 25 µm C3 (ISO 5436-1) 5552 PTB 05; 	25;	Applikation
LS01 100 µm C3   5552 PTB 05;LS01 100 µm C3 (ISO 5436-1) 5552 PTB 05; 	99,993;	Applikation
0055 25 µm C3   5811 PTB 07;0055 25 µm C3 (ISO 5436-1) 5811 PTB 07;	24,999;	Fertigung
0055 100 µm C3   5811 PTB 07;0055 100 µm C3 (ISO 5436-1) 5811 PTB 07;	99,994	;Fertigung
0058 25 µm C3   6635 PTB 08	;0058 25 µm C3 (ISO 5436-1) 6635 PTB 08	;24,995	;Service
0058 100 µm C3   6635 PTB 08	;0058 100 µm C3 (ISO 5436-1) 6635 PTB 08	;99,995	;Service
0067 25 µm C3   50872 PTB 13	;0067 25 µm C3 (ISO 5436-1) 50872 PTB 13	;24,994	;Fertigung
0067 100 µm C3   50872 PTB 13	;0067 100 µm C3 (ISO 5436-1) 50872 PTB 13	;99,995	;Fertigung
0071 25 µm C3   50878 PTB 13;	0071 25 µm C3 (ISO 5436-1) 50878 PTB 13;	25,001	;Fertigung
0071 100 µm C3   50878 PTB 13;0071 100 µm C3 (ISO 5436-1) 50878 PTB 13;	99,992	;Fertigung
0087 25 µm C3   50873 PTB 13;	0087 25 µm C3 (ISO 5436-1) 50873 PTB 13;	25,001	;Service
0087 100 µm C3   50873 PTB 13;0087 100 µm C3 (ISO 5436-1) 50873 PTB 13;	99,991;	Service
0089 25 µm C3   50875 PTB 13;	0089 25 µm C3 (ISO 5436-1) 50875 PTB 13;	25,001;	Applikation
0089 100 µm C3   50875 PTB 13;0089 100 µm C3 (ISO 5436-1) 50875 PTB 13;	99,992;	Applikation
0094 25 µm C  50877 PTB 13; 0094 25 µm C (ISO 5436-1) 50877 PTB 13;	25,001;	Service
0094 100 µm C3  50877 PTB 13;0094 100 µm C3 (ISO 5436-1) 50877 PTB 13;	99,992;	Service
1000 25 µm C3   2004 D-K-18737-01-00;1000 25 µm C3 (ISO 5436-1) 2004 D-K-18737-01-00;	24,997;	Applikation
1000 100 µm C3    2004 D-K-18737-01-00;1000 100 µm C3 (ISO 5436-1) 2004 D-K-18737-01-00;	100,001;	Applikation
1005 25 µm C3   1986 DKD 15;1005 25 µm C3 (ISO 5436-1) 1986 DKD 15;	24,997;	Applikation
1005 100 µm C3  1986 DKD 15;1005 100 µm C3 (ISO 5436-1) 1986 DKD 15;	100;	Applikation
1008 25 µm C3   1983 DKD 15;	1008 25 µm C3 (ISO 5436-1) 1983 DKD 15;	25,002;	Applikation
1008 100 µm C3   1983 DKD 15;	1008 100 µm C3 (ISO 5436-1) 1983 DKD 15;	99,997;	Applikation
1014 25 µm C3   2173 D-K-18737-01-00;1014 25 µm C3 (ISO 5436-1) 2173 D-K-18737-01-00;	24,999;	Applikation
1014 100 µm C3   2173 D-K-18737-01-00;1014 100 µm C3 (ISO 5436-1) 2173 D-K-18737-01-00;	99,996;	Applikation
